               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083978,             0.03077,            0.012611,             0.35986,             0.45831,             0.30972,             0.13008,            0.058476,             0.01776,           0.0032786,             0.07016,           0.0033155,           0.0033155
                   1,            0.063849,            0.021034,           0.0040442,             0.67882,             0.57862,              0.6033,             0.33237,            0.046671,             0.01407,           0.0022419,            0.040095,            0.006583,            0.006583
                   2,            0.059037,            0.016636,           0.0034888,             0.64714,             0.67829,             0.63439,             0.36027,             0.04758,            0.012176,           0.0018402,           0.0099628,           0.0097845,           0.0097845
                   3,            0.051826,            0.015125,           0.0027288,             0.84729,             0.70983,             0.79634,             0.35422,              0.0385,            0.012307,           0.0014248,            0.009703,            0.009703,            0.009703
                   4,            0.046345,            0.014087,           0.0022824,             0.85958,             0.76593,             0.82021,              0.4687,            0.035551,            0.011371,           0.0010672,            0.009703,            0.009703,            0.009703
                   5,            0.043069,            0.013292,           0.0018525,             0.89895,             0.76108,             0.82204,             0.48464,            0.033884,            0.012244,           0.0010475,            0.009604,            0.009604,            0.009604
                   6,            0.041101,            0.012979,           0.0018204,             0.90975,             0.82791,             0.87326,             0.47971,            0.031216,            0.010654,          0.00098795,            0.009505,            0.009505,            0.009505
                   7,            0.039338,            0.012557,           0.0020448,             0.89307,             0.79002,              0.8359,              0.4367,            0.033951,            0.011047,          0.00097207,            0.009406,            0.009406,            0.009406
                   8,            0.037954,            0.012655,           0.0017418,             0.91715,             0.87325,              0.9056,             0.49848,            0.029398,            0.010715,          0.00094559,            0.009307,            0.009307,            0.009307
                   9,            0.036032,            0.012142,           0.0018883,             0.92707,             0.88426,             0.91202,             0.56771,             0.02763,             0.01023,          0.00087018,            0.009208,            0.009208,            0.009208
                  10,            0.035387,            0.011997,           0.0018315,             0.93474,             0.87261,             0.90597,             0.53045,            0.027556,            0.010403,          0.00086377,            0.009109,            0.009109,            0.009109
