               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10524,           0.0057333,            0.016093,           0.0017337,              0.3593,           0.0044282,           0.0011266,            0.082719,            0.004239,             0.01281,            0.070256,           0.0033048,           0.0033048
                   1,            0.082848,            0.007118,            0.011745,           0.0027493,              0.4895,             0.03527,            0.010466,            0.064163,           0.0055102,           0.0066423,            0.040236,           0.0066183,           0.0066183
                   2,            0.069705,           0.0078077,           0.0075959,           0.0058572,              0.6706,            0.077032,            0.025777,            0.056154,           0.0056342,           0.0041758,            0.010197,           0.0099117,           0.0099117
                   3,            0.062542,           0.0080813,           0.0057462,            0.008032,              0.7847,             0.22051,            0.086114,            0.048227,           0.0060809,           0.0028951,             0.00991,             0.00991,             0.00991
                   4,            0.058119,           0.0080977,           0.0041166,           0.0079907,             0.79833,             0.17282,            0.075423,            0.044015,           0.0063799,            0.002227,             0.00991,             0.00991,             0.00991
                   5,            0.053597,           0.0082899,           0.0032651,           0.0092552,             0.87952,             0.27006,             0.13203,            0.040387,           0.0063911,           0.0017567,             0.00988,             0.00988,             0.00988
                   6,            0.051182,           0.0080841,           0.0025575,           0.0093581,             0.87975,             0.32132,             0.15006,            0.040904,           0.0061102,           0.0014413,             0.00985,             0.00985,             0.00985
                   7,             0.04912,           0.0079133,           0.0023245,            0.010914,             0.94533,             0.36147,             0.17269,            0.035073,           0.0062628,           0.0013174,             0.00982,             0.00982,             0.00982
                   8,             0.04835,           0.0078537,           0.0021667,            0.015731,             0.92323,             0.43577,             0.21661,            0.035849,           0.0060217,          0.00097736,             0.00979,             0.00979,             0.00979
                   9,            0.045982,           0.0076636,           0.0017299,             0.87652,             0.18542,             0.47081,             0.23493,             0.03458,           0.0055071,           0.0010517,             0.00976,             0.00976,             0.00976
                  10,            0.045464,           0.0075372,           0.0017938,              0.8213,             0.21976,             0.47736,             0.20879,            0.036345,           0.0051906,           0.0010596,             0.00973,             0.00973,             0.00973
                  11,            0.044394,           0.0069359,           0.0015876,             0.82771,             0.31597,             0.65082,             0.26093,            0.036697,           0.0048637,          0.00080567,              0.0097,              0.0097,              0.0097
                  12,            0.042824,           0.0069262,           0.0017935,             0.73524,             0.33399,             0.48408,              0.2227,            0.035815,           0.0045155,          0.00092105,             0.00967,             0.00967,             0.00967
                  13,            0.043129,           0.0066332,           0.0016704,             0.84063,              0.3561,             0.68719,             0.30492,            0.034059,           0.0045843,          0.00093951,             0.00964,             0.00964,             0.00964
                  14,            0.041147,           0.0062311,            0.001644,             0.87803,             0.31436,             0.61972,             0.24758,            0.033069,            0.004279,          0.00084148,             0.00961,             0.00961,             0.00961
                  15,            0.040948,           0.0059127,           0.0016188,             0.91433,             0.32052,             0.65332,             0.32256,            0.030508,           0.0041541,          0.00076425,             0.00958,             0.00958,             0.00958
                  16,            0.040102,           0.0058341,            0.001502,             0.88664,             0.33716,             0.64225,             0.28065,             0.02989,           0.0040559,          0.00071222,             0.00955,             0.00955,             0.00955
                  17,            0.038543,            0.005584,           0.0013759,             0.80978,              0.4475,             0.72998,             0.36417,            0.029407,           0.0038984,          0.00078204,             0.00952,             0.00952,             0.00952
